GEO_ID,DESTINATARIO,CENTRALIZADORA,BAIRRO,CIDADE,SE,LATITUDE,LONGITUDE
253,"ESCOLA PROF VICENTE MONTEIRO - PREDIO: A","01_PE_CRU","NOSSA SENHORA DAS DORES","CARUARU","PE","-8,28401569999999","-35,9658382"
254,"ESCOLA PROF VICENTE MONTEIRO - PREDIO: B","01_PE_CRU","NOSSA SENHORA DAS DORES","CARUARU","PE","-8,28401569999999","-35,9658382"
255,"EREM PE ZACARIAS TAVARES - PREDIO: PRINCIPAL","01_PE_CRU","SALGADO","CARUARU","PE","-8,2751046","-35,9635705999999"
256,"EREM DOM MIGUEL DE LIMA VALVERDE - PREDIO: A","01_PE_CRU","VASSORAL","CARUARU","PE","-8,2946992","-35,9690543"
257,"EREM DOM MIGUEL DE LIMA VALVERDE - PREDIO: B","01_PE_CRU","VASSORAL","CARUARU","PE","-8,2946992","-35,9690543"
258,"EREM DOM MIGUEL DE LIMA VALVERDE - PREDIO: C","01_PE_CRU","VASSORAL","CARUARU","PE","-8,2946992","-35,9690543"
259,"EE PROF ADELIA LEAL - PREDIO: A","01_PE_CRU","PETROPOLIS","CARUARU","PE","-8,2970629","-35,9740545"
260,"ESCOLA PROF ELISETE LOPES - PREDIO: A","01_PE_CRU","CAIUCA","CARUARU","PE","-8,28452799999999","-35,9918469999999"
261,"ESCOLA PROF ELISETE LOPES - PREDIO: B","01_PE_CRU","CAIUCA","CARUARU","PE","-8,28452799999999","-35,9918469999999"
262,"EE SIMOA GOMES - PREDIO: PRINCIPAL","01_PE_GRS","BOA VISTA","GARANHUNS","PE","-8,9050826","-36,4802031999999"
263,"EREM DOM JOAO DA MATA AMARAL - PREDIO: PRINCIPAL","01_PE_GRS","BOA VISTA","GARANHUNS","PE","-8,899454","-36,494872"
264,"EREM DOM MALAN - PREDIO: PRINCIPAL","01_PE_PNZ","CENTRO","PETROLINA","PE","-9,386817","-40,49394"
265,"EE OSA SANTANA DE CARVALHO - PREDIO: PRINCIPAL","01_PE_PNZ","COHAB IV","PETROLINA","PE","-9,3807047","-40,5349762"
